variant_id,product_id,size,color,price,stock
V00062,P0004,XL,White,511680,27
V00063,P0004,XL,Red,171813,25
V00064,P0004,XL,Blue,227702,41
V00065,P0005,S,Black,199758,5
V00066,P0005,S,White,357635,78
V00067,P0005,S,Red,499328,56
V00068,P0005,S,Blue,224123,37
V00069,P0005,M,Black,430674,84
V00070,P0005,M,White,394824,27
V00071,P0005,M,Red,421397,82
V00072,P0005,M,Blue,430039,54
V00073,P0005,L,Black,168908,27
V00074,P0005,L,White,374212,44
V00075,P0005,L,Red,162027,84
V00076,P0005,L,Blue,120093,25
V00077,P0005,XL,Black,146058,28
V00078,P0005,XL,White,393301,90
V00079,P0005,XL,Red,131718,6
V00080,P0005,XL,Blue,590663,62
V00081,P0006,S,Black,405174,13
V00082,P0006,S,White,159813,63
V00083,P0006,S,Red,417605,83
V00084,P0006,S,Blue,270172,18
V00085,P0006,M,Black,572336,21
V00086,P0006,M,White,571750,41
V00087,P0006,M,Red,111549,53
V00088,P0006,M,Blue,145547,77
V00089,P0006,L,Black,202294,99
V00090,P0006,L,White,515956,40
V00091,P0006,L,Red,599905,58
V00092,P0006,L,Blue,112111,41
V00093,P0006,XL,Black,568381,27
V00094,P0006,XL,White,331576,99
V00095,P0006,XL,Red,371163,91
V00096,P0006,XL,Blue,551882,73
V00097,P0007,S,Black,346870,30
V00098,P0007,S,White,448418,75
V00099,P0007,S,Red,587121,29
V00100,P0007,S,Blue,243179,90
V00101,P0007,M,Black,135852,97
V00102,P0007,M,White,108268,34
V00103,P0007,M,Red,210146,18
V00104,P0007,M,Blue,585418,41
V00105,P0007,L,Black,459427,82
V00106,P0007,L,White,389499,24
V00107,P0007,L,Red,469736,88
V00108,P0007,L,Blue,545705,78
V00109,P0007,XL,Black,215512,41
V00110,P0007,XL,White,205822,85
V00111,P0007,XL,Red,495958,26
V00112,P0007,XL,Blue,298130,18
V00113,P0008,S,Black,357605,20
V00114,P0008,S,White,534319,85
V00115,P0008,S,Red,274425,80
V00116,P0008,S,Blue,427005,89
V00117,P0008,M,Black,529691,3
V00118,P0008,M,White,179919,54
V00119,P0008,M,Red,250105,54
V00120,P0008,M,Blue,280168,48
V00121,P0008,L,Black,565255,52
V00122,P0008,L,White,347307,53
V00123,P0008,L,Red,257558,53
V00124,P0008,L,Blue,420127,32
V00125,P0008,XL,Black,458703,76
V00126,P0008,XL,White,510203,97
V00127,P0008,XL,Red,471213,61
V00128,P0008,XL,Blue,264243,41
V00129,P0009,S,Black,296020,32
V00130,P0009,S,White,385503,26
V00131,P0009,S,Red,433361,93
V00132,P0009,S,Blue,533764,80
V00133,P0009,M,Black,237616,76
V00134,P0009,M,White,247842,6
V00135,P0009,M,Red,298964,81
V00136,P0009,M,Blue,219866,88
V00137,P0009,L,Black,178871,46
V00138,P0009,L,White,556793,43
V00139,P0009,L,Red,363262,62
V00140,P0009,L,Blue,101221,76
V00141,P0009,XL,Black,457719,43
V00142,P0009,XL,White,555138,18
V00143,P0009,XL,Red,477426,21
V00144,P0009,XL,Blue,250114,14
V00145,P0010,S,Black,116153,8
V00146,P0010,S,White,152455,89
V00147,P0010,S,Red,195053,91
V00148,P0010,S,Blue,529686,1
V00149,P0010,M,Black,326079,62
V00150,P0010,M,White,179642,42
V00151,P0010,M,Red,594376,79
V00152,P0010,M,Blue,418546,28
V00153,P0010,L,Black,257638,19
V00154,P0010,L,White,259256,85
V00155,P0010,L,Red,187539,24
V00156,P0010,L,Blue,474223,20
V00157,P0010,XL,Black,516899,62
V00158,P0010,XL,White,521384,21
V00159,P0010,XL,Red,198874,33
V00160,P0010,XL,Blue,256977,65
V00161,P0011,S,Black,117927,42
V00162,P0011,S,White,354299,11
V00163,P0011,S,Red,532865,72
V00164,P0011,S,Blue,324838,21
V00165,P0011,M,Black,424349,67
V00166,P0011,M,White,561131,21
V00167,P0011,M,Red,597257,52
V00168,P0011,M,Blue,438022,87
V00169,P0011,L,Black,504040,87
V00170,P0011,L,White,125918,88
V00171,P0011,L,Red,437675,64
V00172,P0011,L,Blue,347698,73
V00173,P0011,XL,Black,203112,22
V00174,P0011,XL,White,419297,2
V00175,P0011,XL,Red,155289,71
V00176,P0011,XL,Blue,392374,34
V00177,P0012,S,Black,587763,70
V00178,P0012,S,White,500239,48
V00179,P0012,S,Red,517121,86
V00180,P0012,S,Blue,519496,85
V00181,P0012,M,Black,190269,79
V00182,P0012,M,White,316873,96
V00183,P0012,M,Red,279275,63
V00184,P0012,M,Blue,178312,87
V00185,P0012,L,Black,508146,51
V00186,P0012,L,White,240284,11
V00187,P0012,L,Red,171992,77
V00188,P0012,L,Blue,572448,72
V00189,P0012,XL,Black,549177,14
V00190,P0012,XL,White,351712,52
V00191,P0012,XL,Red,384067,85
V00192,P0012,XL,Blue,141572,34
V00193,P0013,S,Black,234640,74
V00194,P0013,S,White,273654,99
V00195,P0013,S,Red,277505,62
V00196,P0013,S,Blue,269104,7
V00197,P0013,M,Black,232404,76
V00198,P0013,M,White,505255,66
V00199,P0013,M,Red,393410,1
V00200,P0013,M,Blue,529358,63
V00201,P0013,L,Black,458328,17
V00202,P0013,L,White,308425,27
V00203,P0013,L,Red,193967,17
V00204,P0013,L,Blue,509679,47
V00205,P0013,XL,Black,322954,26
V00206,P0013,XL,White,132954,27
V00207,P0013,XL,Red,149420,76
V00208,P0013,XL,Blue,191311,71
V00209,P0014,S,Black,450867,36
V00210,P0014,S,White,315012,76
V00211,P0014,S,Red,571573,84
V00212,P0014,S,Blue,320339,8
V00213,P0014,M,Black,115925,8
V00214,P0014,M,White,242490,60
V00215,P0014,M,Red,429794,82
V00216,P0014,M,Blue,273003,79
V00217,P0014,L,Black,211117,35
V00218,P0014,L,White,544631,47
V00219,P0014,L,Red,152292,22
V00220,P0014,L,Blue,197778,35
V00221,P0014,XL,Black,430960,58
V00222,P0014,XL,White,276867,84
V00223,P0014,XL,Red,116519,16
V00224,P0014,XL,Blue,489195,46
V00225,P0015,S,Black,270191,63
V00226,P0015,S,White,469327,52
V00227,P0015,S,Red,511888,7
V00228,P0015,S,Blue,100355,49
V00229,P0015,M,Black,292181,2
V00230,P0015,M,White,595477,49
V00231,P0015,M,Red,440159,82
V00232,P0015,M,Blue,395316,38
V00233,P0015,L,Black,363909,85
V00234,P0015,L,White,572411,52
V00235,P0015,L,Red,474251,34
V00236,P0015,L,Blue,204829,97
V00237,P0015,XL,Black,485758,51
V00238,P0015,XL,White,275566,67
V00239,P0015,XL,Red,454474,12
V00240,P0015,XL,Blue,584332,55
V00241,P0016,S,Black,216024,40
V00242,P0016,S,White,550665,59
V00243,P0016,S,Red,481032,49
V00244,P0016,S,Blue,542550,56
V00245,P0016,M,Black,497542,14
V00246,P0016,M,White,407373,6
V00247,P0016,M,Red,358252,48
V00248,P0016,M,Blue,100123,54
V00249,P0016,L,Black,121396,41
V00250,P0016,L,White,229800,77
V00251,P0016,L,Red,439640,1
V00252,P0016,L,Blue,425028,99
V00253,P0016,XL,Black,409768,72
V00254,P0016,XL,White,361680,27
V00255,P0016,XL,Red,355239,62
V00256,P0016,XL,Blue,491047,11
V00257,P0017,S,Black,477827,1
V00258,P0017,S,White,300135,36
V00259,P0017,S,Red,541711,44
V00260,P0017,S,Blue,498207,3
V00261,P0017,M,Black,223103,33
V00262,P0017,M,White,559318,30
V00263,P0017,M,Red,312767,49
V00264,P0017,M,Blue,265589,14
V00265,P0017,L,Black,279311,69
V00266,P0017,L,White,275539,7
V00267,P0017,L,Red,251519,21
V00268,P0017,L,Blue,430012,59
V00269,P0017,XL,Black,235555,89
V00270,P0017,XL,White,397789,73
V00271,P0017,XL,Red,193940,52
V00272,P0017,XL,Blue,399246,24
V00273,P0018,S,Black,330435,88
V00274,P0018,S,White,148348,56
V00275,P0018,S,Red,296378,85
V00276,P0018,S,Blue,172082,24
V00277,P0018,M,Black,555537,34
V00278,P0018,M,White,393795,58
V00279,P0018,M,Red,165162,93
V00280,P0018,M,Blue,151063,98
V00281,P0018,L,Black,452842,20
V00282,P0018,L,White,515920,62
V00283,P0018,L,Red,149396,4
V00284,P0018,L,Blue,182328,27
V00285,P0018,XL,Black,442531,79
V00286,P0018,XL,White,396520,20
V00287,P0018,XL,Red,359843,63
V00288,P0018,XL,Blue,489623,56
V00289,P0019,S,Black,316141,53
V00290,P0019,S,White,204061,2
V00291,P0019,S,Red,480318,92
V00292,P0019,S,Blue,438211,37
V00293,P0019,M,Black,137874,1
V00294,P0019,M,White,345226,70
V00295,P0019,M,Red,121762,44
V00296,P0019,M,Blue,383444,6
V00297,P0019,L,Black,340600,91
V00298,P0019,L,White,348850,57
V00299,P0019,L,Red,404778,67
V00300,P0019,L,Blue,500043,53
V00301,P0019,XL,Black,473787,37
V00302,P0019,XL,White,135142,5
V00303,P0019,XL,Red,310506,46
V00304,P0019,XL,Blue,481045,81
V00305,P0020,S,Black,414996,50
V00306,P0020,S,White,178110,43
V00307,P0020,S,Red,102349,36
V00308,P0020,S,Blue,516134,40
V00309,P0020,M,Black,566838,79
V00310,P0020,M,White,232188,5
V00311,P0020,M,Red,243707,50
V00312,P0020,M,Blue,340992,26
V00313,P0020,L,Black,396781,28
V00314,P0020,L,White,130478,96
V00315,P0020,L,Red,104439,62
V00316,P0020,L,Blue,269035,35
V00317,P0020,XL,Black,338399,67
V00318,P0020,XL,White,286347,7
V00319,P0020,XL,Red,427387,63
V00320,P0020,XL,Blue,364540,64
V00321,P0021,S,Black,232588,65
V00322,P0021,S,White,451762,78
V00323,P0021,S,Red,433468,74
V00324,P0021,S,Blue,429232,35
V00325,P0021,M,Black,230224,54
V00326,P0021,M,White,485808,19
V00327,P0021,M,Red,309162,22
V00328,P0021,M,Blue,365711,62
V00329,P0021,L,Black,391709,29
V00330,P0021,L,White,155256,44
V00331,P0021,L,Red,168877,29
V00332,P0021,L,Blue,324651,7
V00333,P0021,XL,Black,312099,21
V00334,P0021,XL,White,257994,51
V00335,P0021,XL,Red,431115,60
V00336,P0021,XL,Blue,304064,46
V00337,P0022,S,Black,274154,69
V00338,P0022,S,White,465902,60
V00339,P0022,S,Red,363231,62
V00340,P0022,S,Blue,585108,68
V00341,P0022,M,Black,211668,69
V00342,P0022,M,White,359896,45
V00343,P0022,M,Red,540673,37
V00344,P0022,M,Blue,176949,54
V00345,P0022,L,Black,462333,98
V00346,P0022,L,White,327747,81
V00347,P0022,L,Red,142146,75
V00348,P0022,L,Blue,342687,48
V00349,P0022,XL,Black,305180,76
V00350,P0022,XL,White,114456,80
V00351,P0022,XL,Red,147278,46
V00352,P0022,XL,Blue,305621,57
V00353,P0023,S,Black,334274,7
V00354,P0023,S,White,467206,16
V00355,P0023,S,Red,202186,92
V00356,P0023,S,Blue,490917,85
V00357,P0023,M,Black,102743,49
V00358,P0023,M,White,495497,47
V00359,P0023,M,Red,553973,67
V00360,P0023,M,Blue,211687,66
V00361,P0023,L,Black,551105,65
V00362,P0023,L,White,382468,78
V00363,P0023,L,Red,233224,42
V00364,P0023,L,Blue,589052,29
V00365,P0023,XL,Black,279710,91
V00366,P0023,XL,White,494344,87
V00367,P0023,XL,Red,348216,93
V00368,P0023,XL,Blue,455056,31
V00369,P0024,S,Black,260326,49
V00370,P0024,S,White,427981,63
V00371,P0024,S,Red,270288,68
V00372,P0024,S,Blue,443577,61
V00373,P0024,M,Black,480556,76
V00374,P0024,M,White,179766,72
V00375,P0024,M,Red,302745,40
V00376,P0024,M,Blue,247799,10
V00377,P0024,L,Black,236700,80
V00378,P0024,L,White,475343,19
V00379,P0024,L,Red,194164,56
V00380,P0024,L,Blue,325908,56
V00381,P0024,XL,Black,333980,82
V00382,P0024,XL,White,289712,67
V00383,P0024,XL,Red,428988,61
V00384,P0024,XL,Blue,473252,95
V00385,P0025,S,Black,511404,61
V00386,P0025,S,White,372056,60
V00387,P0025,S,Red,127591,69
V00388,P0025,S,Blue,165603,59
V00389,P0025,M,Black,547400,80
V00390,P0025,M,White,393844,65
V00391,P0025,M,Red,195779,47
V00392,P0025,M,Blue,404955,78
V00393,P0025,L,Black,116642,26
V00394,P0025,L,White,208727,25
V00395,P0025,L,Red,417082,26
V00396,P0025,L,Blue,223677,68
V00397,P0025,XL,Black,418026,6
V00398,P0025,XL,White,288929,69
V00399,P0025,XL,Red,175696,85
V00400,P0025,XL,Blue,405413,12
V00401,P0026,S,Black,541928,15
V00402,P0026,S,White,407035,4
V00403,P0026,S,Red,361985,49
V00404,P0026,S,Blue,203256,93
V00405,P0026,M,Black,197534,64
V00406,P0026,M,White,391543,5
V00407,P0026,M,Red,177382,10
V00408,P0026,M,Blue,281318,26
V00409,P0026,L,Black,450952,99
V00410,P0026,L,White,462641,52
V00411,P0026,L,Red,302510,67
V00412,P0026,L,Blue,118826,96
V00413,P0026,XL,Black,520157,10
V00414,P0026,XL,White,466578,60
V00415,P0026,XL,Red,400679,34
V00416,P0026,XL,Blue,480583,48
V00417,P0027,S,Black,415309,33
V00418,P0027,S,White,515433,22
V00419,P0027,S,Red,584628,90
V00420,P0027,S,Blue,303018,78
V00421,P0027,M,Black,147906,49
V00422,P0027,M,White,295954,68
V00423,P0027,M,Red,529237,47
V00424,P0027,M,Blue,147756,66
V00425,P0027,L,Black,406753,92
V00426,P0027,L,White,355793,63
V00427,P0027,L,Red,461060,28
V00428,P0027,L,Blue,441039,94
V00429,P0027,XL,Black,246184,6
V00430,P0027,XL,White,416885,13
V00431,P0027,XL,Red,539252,96
V00432,P0027,XL,Blue,252414,94
V00433,P0028,S,Black,291375,13
V00434,P0028,S,White,313815,3
V00435,P0028,S,Red,596882,0
V00436,P0028,S,Blue,132143,30
V00437,P0028,M,Black,348841,61
V00438,P0028,M,White,145114,80
V00439,P0028,M,Red,151878,62
V00440,P0028,M,Blue,294210,90
V00441,P0028,L,Black,531201,24
V00442,P0028,L,White,398346,35
V00443,P0028,L,Red,555632,38
V00444,P0028,L,Blue,100640,41
V00445,P0028,XL,Black,157087,94
V00446,P0028,XL,White,319711,36
V00447,P0028,XL,Red,276845,15
V00448,P0028,XL,Blue,328414,13
V00449,P0029,S,Black,192899,10
V00450,P0029,S,White,309177,27
V00451,P0029,S,Red,585072,77
V00452,P0029,S,Blue,297657,17
V00453,P0029,M,Black,269350,35
V00454,P0029,M,White,341123,46
V00455,P0029,M,Red,485835,13
V00456,P0029,M,Blue,270042,23
V00457,P0029,L,Black,374429,67
V00458,P0029,L,White,127313,47
V00459,P0029,L,Red,575046,3
V00460,P0029,L,Blue,381873,49
V00461,P0029,XL,Black,113847,79
V00462,P0029,XL,White,533731,76
V00463,P0029,XL,Red,555908,66
V00464,P0029,XL,Blue,347740,91
V00465,P0030,S,Black,113180,48
V00466,P0030,S,White,237794,61
V00467,P0030,S,Red,215683,39
V00468,P0030,S,Blue,471070,42
V00469,P0030,M,Black,184429,43
V00470,P0030,M,White,228192,21
V00471,P0030,M,Red,445113,70
V00472,P0030,M,Blue,391017,51
V00473,P0030,L,Black,373512,34
V00474,P0030,L,White,277082,48
V00475,P0030,L,Red,264569,35
V00476,P0030,L,Blue,263735,86
V00477,P0030,XL,Black,348003,12
V00478,P0030,XL,White,287575,37
V00479,P0030,XL,Red,531470,26
V00480,P0030,XL,Blue,161930,11
V00481,P0031,S,Black,304622,56
V00482,P0031,S,White,466727,1
V00483,P0031,S,Red,480381,7
V00484,P0031,S,Blue,598961,39
V00485,P0031,M,Black,484147,22
V00486,P0031,M,White,426982,35
V00487,P0031,M,Red,572101,47
V00488,P0031,M,Blue,140260,23
V00489,P0031,L,Black,206583,24
V00490,P0031,L,White,138232,97
V00491,P0031,L,Red,373407,28
V00492,P0031,L,Blue,377476,44
V00493,P0031,XL,Black,441272,53
V00494,P0031,XL,White,481804,45
V00495,P0031,XL,Red,135391,0
V00496,P0031,XL,Blue,198782,29
V00497,P0032,S,Black,539182,17
V00498,P0032,S,White,297916,97
V00499,P0032,S,Red,121363,29
V00500,P0032,S,Blue,235623,47
V00501,P0032,M,Black,386604,55
V00502,P0032,M,White,428681,56
V00503,P0032,M,Red,123041,70
V00504,P0032,M,Blue,270430,91
V00505,P0032,L,Black,153245,25
V00506,P0032,L,White,516896,43
V00507,P0032,L,Red,157194,0
V00508,P0032,L,Blue,408014,79
V00509,P0032,XL,Black,325225,31
V00510,P0032,XL,White,556153,33
V00511,P0032,XL,Red,393035,17
V00512,P0032,XL,Blue,431051,32
V00513,P0033,S,Black,517103,99
V00514,P0033,S,White,547508,58
V00515,P0033,S,Red,355577,9
V00516,P0033,S,Blue,157810,38
V00517,P0033,M,Black,287146,50
V00518,P0033,M,White,347260,13
V00519,P0033,M,Red,342242,75
V00520,P0033,M,Blue,381643,8
V00521,P0033,L,Black,228911,37
V00522,P0033,L,White,545926,82
V00523,P0033,L,Red,197456,4
V00524,P0033,L,Blue,452136,91
V00525,P0033,XL,Black,297578,93
V00526,P0033,XL,White,549360,43
V00527,P0033,XL,Red,332294,48
V00528,P0033,XL,Blue,273573,98
V00529,P0034,S,Black,231174,3
V00530,P0034,S,White,429668,86
V00531,P0034,S,Red,483042,34
V00532,P0034,S,Blue,323559,48
V00533,P0034,M,Black,446052,83
V00534,P0034,M,White,447828,5
V00535,P0034,M,Red,264956,36
V00536,P0034,M,Blue,135199,72
V00537,P0034,L,Black,423552,49
V00538,P0034,L,White,318621,89
V00539,P0034,L,Red,377955,96
V00540,P0034,L,Blue,467782,84
V00541,P0034,XL,Black,303824,3
V00542,P0034,XL,White,577094,27
V00543,P0034,XL,Red,308548,47
V00544,P0034,XL,Blue,372640,10
V00545,P0035,S,Black,413862,87
V00546,P0035,S,White,568447,9
V00547,P0035,S,Red,441220,5
V00548,P0035,S,Blue,292987,85
V00549,P0035,M,Black,247051,75
V00550,P0035,M,White,398564,29
V00551,P0035,M,Red,159938,79
V00552,P0035,M,Blue,475759,29
V00553,P0035,L,Black,198020,60
V00554,P0035,L,White,135898,84
V00555,P0035,L,Red,308824,11
V00556,P0035,L,Blue,212828,66
V00557,P0035,XL,Black,317231,61
V00558,P0035,XL,White,149646,12
V00559,P0035,XL,Red,356569,40
V00560,P0035,XL,Blue,307441,72
V00561,P0036,S,Black,119844,2
V00562,P0036,S,White,124827,90
V00563,P0036,S,Red,259826,66
V00564,P0036,S,Blue,509505,53
V00565,P0036,M,Black,474197,53
V00566,P0036,M,White,135234,77
V00567,P0036,M,Red,418922,65
V00568,P0036,M,Blue,522029,21
V00569,P0036,L,Black,552080,42
V00570,P0036,L,White,428848,80
V00571,P0036,L,Red,342179,71
V00572,P0036,L,Blue,595071,21
V00573,P0036,XL,Black,157145,40
V00574,P0036,XL,White,309597,87
V00575,P0036,XL,Red,311193,69
V00576,P0036,XL,Blue,429034,36
V00577,P0037,S,Black,195187,13
V00578,P0037,S,White,257481,58
V00579,P0037,S,Red,347231,81
V00580,P0037,S,Blue,379501,48
V00581,P0037,M,Black,463350,81
V00582,P0037,M,White,194560,64
V00583,P0037,M,Red,281991,78
V00584,P0037,M,Blue,318735,94
V00585,P0037,L,Black,448119,79
V00586,P0037,L,White,311092,8
V00587,P0037,L,Red,486456,70
V00588,P0037,L,Blue,175233,69
V00589,P0037,XL,Black,150948,39
V00590,P0037,XL,White,223719,83
V00591,P0037,XL,Red,167511,66
V00592,P0037,XL,Blue,317057,94
V00593,P0038,S,Black,463687,81
V00594,P0038,S,White,411296,96
V00595,P0038,S,Red,193665,18
V00596,P0038,S,Blue,359603,35
V00597,P0038,M,Black,402816,68
V00598,P0038,M,White,480306,26
V00599,P0038,M,Red,379052,70
V00600,P0038,M,Blue,453320,98
V00601,P0038,L,Black,159405,92
V00602,P0038,L,White,322874,70
V00603,P0038,L,Red,543051,21
V00604,P0038,L,Blue,564824,18
V00605,P0038,XL,Black,316068,46
V00606,P0038,XL,White,447679,29
V00607,P0038,XL,Red,111721,29
V00608,P0038,XL,Blue,537481,2
V00609,P0039,S,Black,365269,35
V00610,P0039,S,White,325138,57
V00611,P0039,S,Red,569514,64
V00612,P0039,S,Blue,342407,20
V00613,P0039,M,Black,475914,69
V00614,P0039,M,White,514573,44
V00615,P0039,M,Red,509103,96
V00616,P0039,M,Blue,468523,99
V00617,P0039,L,Black,539431,8
V00618,P0039,L,White,321302,23
V00619,P0039,L,Red,478160,20
V00620,P0039,L,Blue,395255,24
V00621,P0039,XL,Black,124012,69
V00622,P0039,XL,White,210394,16
V00623,P0039,XL,Red,258785,92
V00624,P0039,XL,Blue,567158,28
V00625,P0040,S,Black,197072,35
V00626,P0040,S,White,318324,84
V00627,P0040,S,Red,493263,80
V00628,P0040,S,Blue,451678,76
V00629,P0040,M,Black,587269,44
V00630,P0040,M,White,187205,82
V00631,P0040,M,Red,464514,89
V00632,P0040,M,Blue,508879,23
V00633,P0040,L,Black,264857,43
V00634,P0040,L,White,111387,97
V00635,P0040,L,Red,147739,94
V00636,P0040,L,Blue,214514,71
V00637,P0040,XL,Black,366224,49
V00638,P0040,XL,White,469292,69
V00639,P0040,XL,Red,175220,80
V00640,P0040,XL,Blue,274140,60
V00641,P0041,S,Black,372012,39
V00642,P0041,S,White,525273,18
V00643,P0041,S,Red,129124,6
V00644,P0041,S,Blue,185066,59
V00645,P0041,M,Black,529159,57
V00646,P0041,M,White,425006,19
V00647,P0041,M,Red,462298,57
V00648,P0041,M,Blue,492005,40
V00649,P0041,L,Black,532245,90
V00650,P0041,L,White,543358,92
V00651,P0041,L,Red,241311,65
V00652,P0041,L,Blue,520509,48
V00653,P0041,XL,Black,314533,53
V00654,P0041,XL,White,256296,76
V00655,P0041,XL,Red,445174,77
V00656,P0041,XL,Blue,391823,98
V00657,P0042,S,Black,247326,21
V00658,P0042,S,White,114519,95
V00659,P0042,S,Red,101469,6
V00660,P0042,S,Blue,531713,13
V00661,P0042,M,Black,198884,9
V00662,P0042,M,White,424475,80
V00663,P0042,M,Red,104043,12
V00664,P0042,M,Blue,284898,0
V00665,P0042,L,Black,499474,84
V00666,P0042,L,White,563346,91
V00667,P0042,L,Red,513490,19
V00668,P0042,L,Blue,123853,77
V00669,P0042,XL,Black,172734,69
V00670,P0042,XL,White,540004,91
V00671,P0042,XL,Red,185148,7
V00672,P0042,XL,Blue,336292,26
V00673,P0043,S,Black,519642,24
V00674,P0043,S,White,201183,90
V00675,P0043,S,Red,255310,87
V00676,P0043,S,Blue,273846,43
V00677,P0043,M,Black,174415,79
V00678,P0043,M,White,304353,60
V00679,P0043,M,Red,459177,82
V00680,P0043,M,Blue,552187,21
V00681,P0043,L,Black,442561,45
V00682,P0043,L,White,550476,35
V00683,P0043,L,Red,267046,81
V00684,P0043,L,Blue,196372,79
V00685,P0043,XL,Black,551696,2
V00686,P0043,XL,White,264113,85
V00687,P0043,XL,Red,487544,49
V00688,P0043,XL,Blue,468430,81
V00689,P0044,S,Black,124626,76
V00690,P0044,S,White,563944,7
V00691,P0044,S,Red,186411,95
V00692,P0044,S,Blue,459485,95
V00693,P0044,M,Black,520956,71
V00694,P0044,M,White,158163,7
V00695,P0044,M,Red,242312,58
V00696,P0044,M,Blue,109379,82
V00697,P0044,L,Black,510008,74
V00698,P0044,L,White,270848,35
V00699,P0044,L,Red,107344,26
V00700,P0044,L,Blue,198120,6
V00701,P0044,XL,Black,121134,79
V00702,P0044,XL,White,369350,16
V00703,P0044,XL,Red,345566,8
V00704,P0044,XL,Blue,460864,13
V00705,P0045,S,Black,284925,86
V00706,P0045,S,White,137220,99
V00707,P0045,S,Red,266504,28
V00708,P0045,S,Blue,493738,30
V00709,P0045,M,Black,275904,14
V00710,P0045,M,White,255494,51
V00711,P0045,M,Red,564860,17
V00712,P0045,M,Blue,366318,54
V00713,P0045,L,Black,274315,53
V00714,P0045,L,White,519810,52
V00715,P0045,L,Red,546437,76
V00716,P0045,L,Blue,375644,75
V00717,P0045,XL,Black,284908,80
V00718,P0045,XL,White,540693,8
V00719,P0045,XL,Red,572356,56
V00720,P0045,XL,Blue,331696,75
V00721,P0046,S,Black,464556,1
V00722,P0046,S,White,373256,46
V00723,P0046,S,Red,536249,30
V00724,P0046,S,Blue,221330,1
V00725,P0046,M,Black,197422,99
V00726,P0046,M,White,577870,70
V00727,P0046,M,Red,248025,27
V00728,P0046,M,Blue,308336,15
V00729,P0046,L,Black,331948,68
V00730,P0046,L,White,348421,33
V00731,P0046,L,Red,214999,73
V00732,P0046,L,Blue,204164,16
V00733,P0046,XL,Black,114751,34
V00734,P0046,XL,White,405394,42
V00735,P0046,XL,Red,537949,53
V00736,P0046,XL,Blue,213874,15
V00737,P0047,S,Black,569717,97
V00738,P0047,S,White,232263,55
V00739,P0047,S,Red,527889,19
V00740,P0047,S,Blue,405703,46
V00741,P0047,M,Black,371290,10
V00742,P0047,M,White,388895,20
V00743,P0047,M,Red,210067,92
V00744,P0047,M,Blue,583965,20
V00745,P0047,L,Black,167794,83
V00746,P0047,L,White,592670,43
V00747,P0047,L,Red,554747,70
V00748,P0047,L,Blue,450068,71
V00749,P0047,XL,Black,242106,23
V00750,P0047,XL,White,538066,6
V00751,P0047,XL,Red,129405,19
V00752,P0047,XL,Blue,324056,46
V00753,P0048,S,Black,441580,86
V00754,P0048,S,White,156918,30
V00755,P0048,S,Red,406598,61
V00756,P0048,S,Blue,552191,79
V00757,P0048,M,Black,270681,3
V00758,P0048,M,White,237100,58
V00759,P0048,M,Red,529405,7
V00760,P0048,M,Blue,179401,73
V00761,P0048,L,Black,166158,12
V00762,P0048,L,White,388768,5
V00763,P0048,L,Red,585989,23
V00764,P0048,L,Blue,546496,58
V00765,P0048,XL,Black,508402,13
